id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1400057583592001538,1400050937578889220,2021-06-02 14:51:54 +03,2021-06-02,14:51:54,+0300,1388718807171088384,banatoganmayin,kendi halinde bir vatandaşım,,"@Gokhan96077274 @pusholder Tekrar pandemi, kapanma, yasaklar... istemiyorum artık",tr,[],[],[],0,0,0,[],[],https://twitter.com/banatoganmayin/status/1400057583592001538,False,,0,,,,,,,,"[{'screen_name': 'Gokhan96077274', 'name': 'Gökhan', 'id': '1311723494837809153'}, {'screen_name': 'pusholder', 'name': 'Pusholder', 'id': '1212685850095452160'}]",,,,
1400057554856677386,1400057554856677386,2021-06-02 14:51:47 +03,2021-06-02,14:51:47,+0300,1358133258056302594,sansimiseveyim0,G ü r a y ✪,,Sonunda yasaklar kalkıyo erkeklerle bakışmaktan sıkıldım aq,tr,[],[],[],0,0,3,[],[],https://twitter.com/Sansimiseveyim0/status/1400057554856677386,False,,0,,,,,,,,[],,,,
1400057449210695680,1400057449210695680,2021-06-02 14:51:22 +03,2021-06-02,14:51:22,+0300,1295490502876434436,bekirtali28,Bekir,,Yasaklar bitti yağmurlu havalar başladı coğrafya kaderdir:),tr,[],[],[],0,0,2,[],[],https://twitter.com/bekirtali28/status/1400057449210695680,False,,0,,,,,,,,[],,,,
1400057336128053248,1400057336128053248,2021-06-02 14:50:55 +03,2021-06-02,14:50:55,+0300,1400029477992865799,kaan49565495,Kaan,,Yasaklar  https://t.co/V3NjSOhhgX,tr,[],[],['https://pbs.twimg.com/media/E24Ask6X0AI0yQD.jpg'],0,0,0,[],[],https://twitter.com/Kaan49565495/status/1400057336128053248,False,,1,https://pbs.twimg.com/media/E24Ask6X0AI0yQD.jpg,,,,,,,[],,,,
1400056826289344517,1400056826289344517,2021-06-02 14:48:53 +03,2021-06-02,14:48:53,+0300,1216278934201028609,houzemedya,Houze Medya,,"Ali Babacan: “Sayın Erdoğan, ‘Yasaklar’ dediniz. ‘Yoksulluk’ dediniz. ‘Yolsuzluk’ dediniz.  3Y ile mücadele edeceğinizi söyleyerek iktidara geldiniz.  Öyle görünüyor ki, işte bu 3Y ile iktidardan gideceksiniz.”",tr,[],[],[],0,0,0,[],[],https://twitter.com/Houzemedya/status/1400056826289344517,False,,0,,,,,,,,[],,,,
1400056799965892609,1400040520710303749,2021-06-02 14:48:47 +03,2021-06-02,14:48:47,+0300,1359046035490930688,zrtkrt1,Zrtkrt,,@KaanSariaydin @heracidantv @beyaztv Aşı ve yasaklar konusunu kıyıdan geçiyorsunuz.şu an en önemli şey bu.canla başla karşı çıkamıyorsunuz.,tr,[],[],[],0,0,0,[],[],https://twitter.com/Zrtkrt1/status/1400056799965892609,False,,0,,,,,,,,"[{'screen_name': 'KaanSariaydin', 'name': 'Kaan Sariaydin', 'id': '386382228'}, {'screen_name': 'heracidantv', 'name': 'Her Açıdan', 'id': '1042075226090156039'}, {'screen_name': 'beyaztv', 'name': 'BEYAZ TV', 'id': '356222479'}]",,,,
1400056495904022530,1400056495904022530,2021-06-02 14:47:35 +03,2021-06-02,14:47:35,+0300,1245067382718070785,yyilsakinleri,100. yıl sakinleri,,yasaklar kalkmış ve haziranın ilk haftasıdır  o sırada 100. yılın hava durumu...  https://t.co/vZgYfjAJWX,tr,[],[],['https://pbs.twimg.com/media/E23_8_aXEAAoG5S.jpg'],0,0,3,[],[],https://twitter.com/yyilsakinleri/status/1400056495904022530,False,,1,https://pbs.twimg.com/media/E23_8_aXEAAoG5S.jpg,,,,,,,[],,,,
1400056464463511554,1400055451014860806,2021-06-02 14:47:27 +03,2021-06-02,14:47:27,+0300,864453957984321536,leyla1734,leyla,,@LEVENTEROL09 Yasaklar sadece kurallara uymayı ciddiye alanlara malesef,tr,[],[],[],0,0,1,[],[],https://twitter.com/leyla1734/status/1400056464463511554,False,,0,,,,,,,,"[{'screen_name': 'LEVENTEROL09', 'name': 'GITANE', 'id': '703001869'}]",,,,
1400056057230237700,1400056057230237700,2021-06-02 14:45:50 +03,2021-06-02,14:45:50,+0300,1144583796681007104,bizimtvcomtr,Bizim TV,,İstanbullular dikkat!   D100 ve TEM'de yeni yasaklar bugün başladı!    https://t.co/Z96cWTEYBz @bizimtvcomtr aracılığıyla,tr,"[{'screen_name': 'bizimtvcomtr', 'name': 'bizim tv', 'id': '1144583796681007104'}]",['https://bizimtv.com.tr/guncel/istanbullular-dikkat-d100-ve-temde-yeni-yasaklar-bugun-basladi-41633h'],[],0,0,0,[],[],https://twitter.com/bizimtvcomtr/status/1400056057230237700,False,,0,,,,,,,,[],,,,
1400055058742583297,1400055058742583297,2021-06-02 14:41:52 +03,2021-06-02,14:41:52,+0300,268967389,mehmetacar1914,Mehmet Acar,,Yasaklar yetmez diyordu :)),tr,[],[],[],0,0,0,[],[],https://twitter.com/mehmetacar1914/status/1400055058742583297,False,https://twitter.com/t24comtr/status/1399731207399645193,0,,,,,,,,[],,,,
1400054779334774793,1400054779334774793,2021-06-02 14:40:45 +03,2021-06-02,14:40:45,+0300,1314316498165432322,kayaturanmert,Turşu,,"100% - 15,1% = 84,9% Her gün 0,1% aşılama yapıldığını hesaba katarsak  84,9% : 0,1% = 849 gün 849 : 365 ≈ 2,3  İki yıl sonra yasaklar kalkıyor arkadaşlar az daha dayanalım",tr,[],[],[],0,0,2,[],[],https://twitter.com/kayaturanmert/status/1400054779334774793,False,https://twitter.com/trvaccinecount/status/1400050898487939074,0,,,,,,,,[],,,,
1400054694567940097,1400054694567940097,2021-06-02 14:40:25 +03,2021-06-02,14:40:25,+0300,361927372,77armagan,Armağan Özen 🇹🇷,,Yasaklar bitti çay keyfi yaptık kankimle  @ozgurhumar 👍  https://t.co/Eb7fzFnVMu,tr,"[{'screen_name': 'ozgurhumar', 'name': 'özgür', 'id': '1389932525590650880'}]",[],['https://pbs.twimg.com/media/E23-Ux7XoAo50QT.jpg'],0,0,2,[],[],https://twitter.com/77Armagan/status/1400054694567940097,False,,1,https://pbs.twimg.com/media/E23-Ux7XoAo50QT.jpg,,,,,,,[],,,,
1400054368091652097,1400020281318678535,2021-06-02 14:39:07 +03,2021-06-02,14:39:07,+0300,892095240043155457,kayandamurat,Murat Kayanda #FATİH TERİM,,@KozanSErkan1 Hocam mükemmel çok şanslısınız bence.. dedenizin iyiki fotoğraf merakı varmış Allah rahmet eylesin..  demekki o devirde bazı saçma sapan yasaklar yokmuş memlekette.. aklıma geldi dünyada sovyetlerle tam 40 yıl sınırı olupta fotosu olmayan yada yayınlanmayan tek kuvvette biziz...,tr,[],[],[],0,0,1,[],[],https://twitter.com/KayandaMurat/status/1400054368091652097,False,,0,,,,,,,,"[{'screen_name': 'KozanSErkan1', 'name': 'Kozan S. Erkan', 'id': '1282950286861115392'}]",,,,
1400054149522333700,1400013832433582083,2021-06-02 14:38:15 +03,2021-06-02,14:38:15,+0300,2346625058,mecitvayisoglu,Mecit Vayısoğlu,,"@t24comtr Camide anırdı diye eşeğe kızılmaz. Suç, eşeği camiye sokan sahibindedir #Ayasofya  Nagehan Alçı #SendenNefretEdiyoruz #ZKuşağıKülYutmaz #SedatPeker #AlaattinÇakıcı  #UtançDevri #HemenSeçim #128MilyarDolarNerede  #yasaklar #dolar #faiz #ALTIN #enflasyon #TCMB  #MustafaKemalAtatürk",tr,[],[],[],0,0,1,"['ayasofya', 'sendennefretediyoruz', 'zkuşağıkülyutmaz', 'sedatpeker', 'alaattinçakıcı', 'utançdevri', 'hemenseçim', '128milyardolarnerede', 'yasaklar', 'dolar', 'faiz', 'altin', 'enflasyon', 'tcmb', 'mustafakemalatatürk']",[],https://twitter.com/mecitvayisoglu/status/1400054149522333700,False,,0,,,,,,,,"[{'screen_name': 't24comtr', 'name': 'T24', 'id': '80549263'}]",,,,
1400053887218892802,1400053887218892802,2021-06-02 14:37:13 +03,2021-06-02,14:37:13,+0300,470162714,mervesacan1,Mervee,,"Korona bitmiyor, yasaklar bitmiyor, pahalılık bitmiyor, cehalet bitmiyor, iğrenç gündemler bitmiyor. Biten neler var?",tr,[],[],[],0,0,2,[],[],https://twitter.com/mervesacan1/status/1400053887218892802,False,,0,,,,,,,,[],,,,
1400053885046300672,1400053885046300672,2021-06-02 14:37:12 +03,2021-06-02,14:37:12,+0300,3007793304,rasljaninn,F.,,Yasaklar bitti kalkın gidiyoruz ileriiiii yürüyün 🚶‍♂️#YeniProfilResmi  https://t.co/ECpUx9EDo6,tr,[],[],['https://pbs.twimg.com/media/E239lhEWEAAgP-i.jpg'],0,0,0,['yeniprofilresmi'],[],https://twitter.com/Rasljaninn/status/1400053885046300672,False,,1,https://pbs.twimg.com/media/E239lhEWEAAgP-i.jpg,,,,,,,[],,,,
1400053874367533063,1400005046453125121,2021-06-02 14:37:10 +03,2021-06-02,14:37:10,+0300,1384495166438903811,bilitasyon_reha,Reha Bilitasyon,,@exokardpinktan Enteresan bi stil Bende atlar bi yerlere giderim kafa dengi biriyle mesela Kalk gidiyoruz amk hesabı Bu yasaklar ağzımıza sıçtı Ev kuşu olduk amk,tr,[],[],[],0,0,0,[],[],https://twitter.com/bilitasyon_reha/status/1400053874367533063,False,,0,,,,,,,,"[{'screen_name': 'exokardpinktan', 'name': 'Diyabarklı Garip (GMV) #BrokenMe💔', 'id': '1264562838045065218'}]",,,,
1400052689766125571,1400052689766125571,2021-06-02 14:32:27 +03,2021-06-02,14:32:27,+0300,1336329880842108928,fathersclub1912,Duran Baba,,"Dolmuş dört lira olmuş, yasaklar geri gelse de olur.",tr,[],[],[],0,0,0,[],[],https://twitter.com/FathersClub1912/status/1400052689766125571,False,,0,,,,,,,,[],,,,
1400052687983546369,1400052687983546369,2021-06-02 14:32:27 +03,2021-06-02,14:32:27,+0300,1188783394894897153,escobararoo,AROBABA,,Türkiye’nin hali ektedir beyler.:)  #dolar #KılıcdaroğluNeSoeyledi #euro #cokusdonemi  #ProtestoEdiyorum #yasaklar #dolar10 #2023cokGec  https://t.co/QEPLAVEQ34,tr,[],[],[],0,0,0,"['dolar', 'kılıcdaroğlunesoeyledi', 'euro', 'cokusdonemi', 'protestoediyorum', 'yasaklar', 'dolar10', '2023cokgec']",[],https://twitter.com/escobararoo/status/1400052687983546369,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1400052474615062534/pu/img/1Ou97hwZG0_tq44y.jpg,,,,,,,[],,,,
1400052473218441224,1400052473218441224,2021-06-02 14:31:35 +03,2021-06-02,14:31:35,+0300,1179015853897060353,rdvantag,Rıdvan,,yasaklar bitti şimdi yağmur yasakları geldi dışarı çıkılmıyor fkekfkw,tr,[],[],[],0,0,4,[],[],https://twitter.com/rdvantag/status/1400052473218441224,False,,0,,,,,,,,[],,,,
1400051652980359173,1399447098228150276,2021-06-02 14:28:20 +03,2021-06-02,14:28:20,+0300,1288582518606880769,sakanurcihan,Nurcihan Saka,,@elazig_valiligi @erkayayirik Yasaklar kalktı. Ama Elâzığ da mesire yerleri kapalı.. Bu halk aylardır evlerde şimdi bir çay içeceği ailece vakit geçirecekler bir yer yok.. Piknik yapmak için Malatya ya gittik. Elazığ belediyesine şikayet ediyoruz valiliğe suç atıyor.Valiliği arıyoruz belediye sorumlu diyor..,tr,[],[],[],0,0,0,[],[],https://twitter.com/SakaNurcihan/status/1400051652980359173,False,,0,,,,,,,,"[{'screen_name': 'elazig_valiligi', 'name': 'T.C. Elazığ Valiliği Maske😷 Mesafe↔️ Temizlik🧼', 'id': '4835321884'}, {'screen_name': 'erkayayirik', 'name': 'Erkaya YIRIK', 'id': '2176770998'}]",,,,
