id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1399791535286362116,1399791535286362116,2021-06-01 21:14:43 +03,2021-06-01,21:14:43,+0300,390140451,yilmazzzyasemin,Yaseminnoş 👸🏼,,"Yasaklar kalktı ama bu defa da biz normalleşemedik, halâ Salı gecelerimin tek aktivitesi sevgilimle #edho izlemek",tr,[],[],[],0,0,3,['edho'],[],https://twitter.com/yilmazzzyasemin/status/1399791535286362116,False,,0,,,,,,,,[],,,,
1399791518735552512,1399719458483150854,2021-06-01 21:14:39 +03,2021-06-01,21:14:39,+0300,1393940829815857152,orkomorko,Orko,,@nevsinmengu Bekliyoruz hangi yasaklar pandemi sonrası kalıcı hake gelecek,tr,[],[],[],0,0,0,[],[],https://twitter.com/OrkoMorko/status/1399791518735552512,False,,0,,,,,,,,"[{'screen_name': 'nevsinmengu', 'name': 'nevsin mengu', 'id': '107655313'}]",,,,
1399791502843392009,1399791502843392009,2021-06-01 21:14:35 +03,2021-06-01,21:14:35,+0300,1341149663454519298,tgelbkanarya,TARKANBABA(GELBKANARYA),,"#yasaklar  #CoronavirusPandemic  Aşı Olmak İstemeyen 65 Yaş Üstü Vatan Hainleri SAAT:10:00 ile 14:00 Saatleri Arasında Avluya Çıkartılacaklar ... (Evet evet hep iyilikleri icin ,zaten yasamislar yasayacaklari kadar dimi ama)🙄 Hicbir garanti vermeyen firmalarin Aşısini olun ❗️❗️  https://t.co/zSZOLwsfQ1",tr,[],[],"['https://pbs.twimg.com/media/E20NjrIXEAwNiq5.png', 'https://pbs.twimg.com/media/E20Nn9EWUAUXxfu.png', 'https://pbs.twimg.com/media/E20N1lvXwAEznCl.png', 'https://pbs.twimg.com/media/E20ODFKWEAMa2Wr.png']",0,0,2,"['yasaklar', 'coronaviruspandemic']",[],https://twitter.com/TGelbkanarya/status/1399791502843392009,False,,1,https://pbs.twimg.com/media/E20NjrIXEAwNiq5.png,,,,,,,[],,,,
1399791461990866946,1399791461990866946,2021-06-01 21:14:26 +03,2021-06-01,21:14:26,+0300,1255148410874638336,12_21bin_diyar,Ahmet ELBAHADIR,,#CumhurbaskanıTRTde #KaLanİstanbuluKurtaralım #istifayasağıkalkmalı  #392Tl #Ayete5816Davası  #AliKoc  #ailelerdağılıyor #yasaklar  https://t.co/yEKjWa2uAr,und,[],[],"['https://pbs.twimg.com/media/E20O55jXoAIIIYH.jpg', 'https://pbs.twimg.com/media/E20O6kiX0AAwUJ8.jpg']",0,0,2,"['cumhurbaskanıtrtde', 'kalani̇stanbulukurtaralım', 'istifayasağıkalkmalı', '392tl', 'ayete5816davası', 'alikoc', 'ailelerdağılıyor', 'yasaklar']",[],https://twitter.com/12_21bin_diyar/status/1399791461990866946,False,,1,https://pbs.twimg.com/media/E20O55jXoAIIIYH.jpg,,,,,,,[],,,,
1399791338221080579,1399791338221080579,2021-06-01 21:13:56 +03,2021-06-01,21:13:56,+0300,1354703008169402375,idrisavci65,İdris Avci,,#CumhurbaşkanıTRTde soruyorum size siz turizim kapalıyken neden her yere yasaklar getiriyorsunuz turizim vakti geldi mi bütün yasakları kaldırıyorsunuz halkı düşündüğünüz için mi yoksa kasadaki eksiği tamlamak için mi ???,tr,[],[],[],0,0,5,['cumhurbaşkanıtrtde'],[],https://twitter.com/idrisavci65/status/1399791338221080579,False,,0,,,,,,,,[],,,,
1399791262396469250,1399789429426995201,2021-06-01 21:13:38 +03,2021-06-01,21:13:38,+0300,1276250536338219009,ratsiyar,Şiyar Fırat,,"@Barikat__lar3 Sözümüz Olsun; #SizGidince En büyük halayımızı Gezi parkında kuracağız  Kadın Cinayetleri Cezasız Kalmayacak   Doğa Katliamları Bitecek,  Yolsuzluk,Yasaklar, Son Bulacak.   Özgür Bir Ülke yaratmak İçin siz gidene kadar mücadeleye devam Edeceğiz...",tr,[],[],[],0,2,5,['sizgidince'],[],https://twitter.com/RatSiyar/status/1399791262396469250,False,,0,,,,,,,,"[{'screen_name': 'Barikat__lar3', 'name': 'BARİKAT', 'id': '1323150263562227712'}]",,,,
1399791190380318724,1399791190380318724,2021-06-01 21:13:21 +03,2021-06-01,21:13:21,+0300,1276250536338219009,ratsiyar,Şiyar Fırat,,"Sözümüz Olsun; #SizGidince En büyük halayımızı Gezi parkında kuracağız  Kadın Cinayetleri Cezasız Kalmayacak   Doğa Katliamları Bitecek,  Yolsuzluk,Yasaklar, Son Bulacak.",tr,[],[],[],0,3,7,['sizgidince'],[],https://twitter.com/RatSiyar/status/1399791190380318724,False,https://twitter.com/Barikat__lar3/status/1399789429426995201,0,,,,,,,,[],,,,
1399791063750090764,1399791063750090764,2021-06-01 21:12:51 +03,2021-06-01,21:12:51,+0300,1335845360464506880,fakir71234802,Fakir 🛠️,,"Sanat düşmanlığı, insan düşmanlığıdır. Düşünce ve estetiğin ürünü olan sanat,toplumun uygarlık ölçüsüdür. Sanat düşmanlığı uygarlık düşmanlığını da birlikte getirir. Yasaklar sanatı yok etmez, sanat kendini yasaklayanı sergiler,teşhir eder.",tr,[],[],[],0,0,2,[],[],https://twitter.com/Fakir71234802/status/1399791063750090764,False,,0,,,,,,,,[],,,,
1399790802046525443,1399774422211436552,2021-06-01 21:11:48 +03,2021-06-01,21:11:48,+0300,1264001608284766208,beenpapatya,Müboş ama daisy olan,,@theAkiff Yasaklar yeni bitmiştir :),tr,[],[],[],0,0,1,[],[],https://twitter.com/BeenPapatya/status/1399790802046525443,False,,0,,,,,,,,"[{'screen_name': 'theAkiff', 'name': '🇹🇷Akif Ejderha', 'id': '779547642221199368'}]",,,,
1399790598568263683,1399789429426995201,2021-06-01 21:11:00 +03,2021-06-01,21:11:00,+0300,1672326211,deniz_gulunay,DeNiz GüLüNaY 🏳️‍🌈,,"@Barikat__lar3 #SizGidince hırsızlık, yolsuzluk, yasaklar son bulacak .",tr,[],[],[],0,4,6,['sizgidince'],[],https://twitter.com/deniz_gulunay/status/1399790598568263683,False,,0,,,,,,,,"[{'screen_name': 'Barikat__lar3', 'name': 'BARİKAT', 'id': '1323150263562227712'}]",,,,
1399790522772996099,1399790522772996099,2021-06-01 21:10:42 +03,2021-06-01,21:10:42,+0300,4735953988,mujdeiris,MÜJDE,,Yasaklar kalkar kalkmaz tüm erkekler koşa koşa spor storysi attı . Bu kadar organize olduğunuz tek konu bu mu cidden,tr,[],[],[],0,0,1,[],[],https://twitter.com/mujdeiris/status/1399790522772996099,False,,0,,,,,,,,[],,,,
1399790434998796289,1399790434998796289,2021-06-01 21:10:21 +03,2021-06-01,21:10:21,+0300,1396580012904665092,medine_6712,medina,,Günlerdir herkes bugünü beklıyomuş yasaklar bitsin diye bir tek bunu umursamayan benim heralde🤷‍♀️,tr,[],[],[],0,0,0,[],[],https://twitter.com/medine_6712/status/1399790434998796289,False,,0,,,,,,,,[],,,,
